customer_id,name,gender,age,income,location,dependents,risk_tolerance,existing_policies,health_condition,policy_type,coverage,policy_tenure,payable_insurance_amount,transaction_frequency,average_transaction_amount,investment_goal,claims_history,premium_amount,marital_status,employment_type,industry,loan_obligations,credit_score,savings_amount,monthly_expenses,preferred_payment_mode,policy_claim_frequency,home_ownership,car_ownership,emergency_fund_availability
0f35ebc8-d7c4-4f60-a7e8-bcea5fc91f55,Aaron Weiss,Male,31,1351497,Walkerport,3+,High,3,High Risk,Auto,8009011,21,25019,18,5200,Retirement,0,29230.91610584145,Widowed,Self-Employed,Finance,48739,823,3861665,169448,Annual,4,Rented,Yes,977233
0595e3de-9080-46fd-b1f9-3da910496654,Spencer Delgado,Female,53,1909963,Meganside,3+,Medium,1,High Risk,Home,2780373,14,45606,22,4484,Wealth Growth,4,37503.09362181533,Widowed,Retired,Manufacturing,839858,407,834560,194567,Monthly,0,Rented,No,416505
ae437138-d4b9-4add-a84d-3cc20ff47d68,Denise Ferguson,Female,28,1457026,Pachecoborough,3+,High,0,Healthy,Health,7789391,4,22188,20,2032,Education,0,21897.064531964665,Single,Salaried,IT,384104,892,88433,164956,Quarterly,4,Owned,No,835991
7839c9b4-be15-4d09-828b-9f407c1d2c2b,Vanessa Smith,Male,24,1049859,New Timothyland,3+,High,2,High Risk,Home,7815221,19,49608,7,1874,Retirement,2,18247.08228452992,Divorced,Salaried,IT,233022,657,876630,198714,Monthly,3,Rented,Yes,238355
93cdbf23-fce5-47dc-968f-57a4dd668004,Brandon Thomas,Female,63,911097,Edwardmouth,3+,Low,3+,Healthy,Health,4950197,18,5145,25,6823,Education,2,14605.905851421458,Widowed,Self-Employed,Manufacturing,309668,883,2538894,48980,Annual,4,Rented,Yes,949488
23a05904-8354-4c2d-b379-784179ed59b7,Paul Kelley,Other,22,1194065,New James,2,Medium,3,High Risk,Life,7319573,19,5177,16,8095,Retirement,4,24280.401252179992,Married,Unemployed,Education,673724,315,4889523,176767,Monthly,3,Owned,No,122699
c128f12c-bfa3-421a-8baa-aa3c98264340,Maria Murray,Male,32,1361743,West Matthew,1,Low,2,Pre-existing Condition,Home,9915822,28,9442,20,3927,Emergency Fund,1,31236.566608236957,Divorced,Retired,Finance,878606,348,4391809,150760,Monthly,2,Rented,Yes,659189
c66c936d-1d36-4716-8158-66fe833de59e,Shannon Welch,Male,36,786753,East Lorihaven,1,High,3+,High Risk,Auto,9531296,14,29199,1,8495,Emergency Fund,4,27463.260151606075,Single,Salaried,Finance,570437,354,1875542,31049,Monthly,0,Rented,Yes,831955
25e8ba5e-8561-4019-ba03-97d356b05107,David Foster,Male,49,1442692,West Anthony,3+,Medium,3+,Healthy,Life,5293740,19,45138,2,475,Wealth Growth,1,28600.169354801277,Married,Self-Employed,IT,287948,797,3474489,89937,Monthly,2,Owned,Yes,589966
2940e4f9-3914-45ba-a089-7c7948f0563c,Joseph Vargas,Other,21,666645,South Mary,0,Low,3+,Pre-existing Condition,Auto,394451,20,47210,19,7198,Education,1,6839.227667598904,Single,Salaried,Finance,66863,779,4208052,80894,Quarterly,0,Owned,No,433568
667b3bb7-8c2b-4d36-b432-2ed13932cb2f,Kevin Green,Female,53,1382790,Port Latoyaburgh,3+,Low,1,Pre-existing Condition,Health,4581203,1,11404,14,6885,Education,1,31921.355309083363,Widowed,Unemployed,Retail,775162,636,1439108,60284,Monthly,0,Owned,Yes,397866
ffac3d07-ebed-47d2-a6e1-b06314090782,Marie Howard,Other,52,1921559,Lake Alexis,3,High,1,Pre-existing Condition,Auto,6863743,29,27668,16,8605,Wealth Growth,1,33104.53810638365,Married,Salaried,Retail,974135,380,2301376,166873,Monthly,0,Owned,No,854556
e2ff3c91-7bd2-432b-a0a2-5221b2e69012,Katie Cook,Male,48,1752788,Michelechester,2,High,3,Pre-existing Condition,Health,7318951,6,14548,24,2364,Retirement,3,39946.84690321208,Widowed,Retired,IT,507080,355,3317407,48435,Monthly,4,Rented,No,955503
4a576519-7ea5-48dc-b62a-bcbee0c9950e,Steven Mack,Female,46,339924,Davishaven,0,Medium,3,Pre-existing Condition,Life,4265590,22,11794,5,8983,Emergency Fund,1,11631.279676549006,Married,Self-Employed,Finance,134491,604,1415850,52887,Annual,1,Owned,No,712128
5bbb40b2-18ad-458f-ad14-04423f6f3b49,Stephen Anderson,Male,19,583605,West Robert,0,High,1,Pre-existing Condition,Health,9651208,8,25838,7,8592,Education,0,13238.958656510125,Divorced,Salaried,Manufacturing,809465,490,1016414,128425,Quarterly,3,Rented,No,150780
645921b8-abc7-401d-b964-0e23de6d0ba3,Kelly Chapman,Other,34,1840883,Stricklandborough,1,Medium,2,High Risk,Home,8651167,25,25225,21,8101,Retirement,2,32501.61960339478,Widowed,Self-Employed,Healthcare,365253,817,2733420,176073,Monthly,4,Owned,No,293711
8b112805-e337-46c0-9e66-b82829b96951,Alejandra Reynolds,Male,52,323025,Russellmouth,1,Medium,3,Pre-existing Condition,Auto,4374917,7,49329,28,7192,Wealth Growth,0,-1002.0700406136621,Married,Self-Employed,Education,837482,651,389971,156671,Annual,2,Rented,Yes,473405
39322924-a1cd-4c20-b8c0-351414e0b5c3,Christopher Brown,Male,45,845944,Woodwardtown,2,Medium,1,Pre-existing Condition,Health,4352482,13,49063,19,3655,Education,3,21789.56334832686,Married,Salaried,Manufacturing,173359,588,966597,167618,Annual,1,Owned,No,50087
ac4bc9a6-5d0a-434a-b756-51737078a3bb,Brian Kirby,Male,49,1379398,West Alison,3,Medium,3+,Healthy,Home,7593579,14,44322,12,4909,Education,1,31674.274307070526,Single,Salaried,IT,574119,664,3708835,133397,Quarterly,2,Owned,No,101275
5f399686-f377-408d-a7f0-ab2c3ab3f408,John Allison,Female,42,436895,New Jennaborough,3,Low,2,High Risk,Life,1474712,15,47313,8,2708,Retirement,3,21943.105382782553,Single,Salaried,Finance,548347,442,4719715,192440,Annual,2,Rented,Yes,400744
3312aef9-a33e-48cf-89ce-76c43fb7521b,Michael Clay,Male,32,852871,South Kathleenland,3,Low,2,Pre-existing Condition,Health,9163581,15,6780,27,1861,Wealth Growth,0,10572.305726504594,Married,Self-Employed,Education,137875,401,2201930,156606,Quarterly,2,Owned,Yes,18943
bf57257c-c353-405e-8141-6f3b0bc4acfe,Renee Garcia,Other,39,1901391,East Karenstad,1,Low,3+,Pre-existing Condition,Health,766555,22,13644,9,5509,Retirement,2,36716.614239193084,Divorced,Unemployed,Finance,227947,807,828613,108837,Annual,4,Owned,Yes,241794
4eb76546-4dc1-4ad9-a8b9-3020853827dc,Penny Simmons,Female,52,1379320,North Julia,3+,Medium,3,High Risk,Life,8004391,21,49231,16,4315,Retirement,3,25151.078344768794,Married,Self-Employed,Education,967114,507,1843861,139936,Quarterly,4,Owned,No,213871
f7151aa7-5429-4216-b2e2-015404a4ff18,Jacob Mckay,Female,64,1836724,Oliverburgh,1,Low,1,High Risk,Home,8645001,21,36347,3,7475,Retirement,3,34348.285140553446,Married,Salaried,Education,291494,486,4936281,63312,Quarterly,4,Owned,No,500731
521c3ff1-2e6e-4fcf-8fce-8a2351b2814e,Matthew Petty,Other,44,799190,West Michael,1,High,0,Healthy,Health,1009182,7,20158,9,3369,Retirement,2,18020.909898848262,Single,Salaried,Healthcare,989006,329,3435765,133216,Monthly,0,Rented,No,855641
02372676-88a1-4a79-a15c-5e88b3937cf6,Patrick Rodriguez MD,Other,63,659406,Sandovalhaven,2,Medium,1,Healthy,Home,9916561,13,32915,26,2449,Wealth Growth,0,14968.540584538137,Divorced,Unemployed,Retail,703141,520,4702861,52371,Monthly,1,Owned,No,975039
43b2f9bc-80a7-4156-8d40-e4f1a1d13dfd,Omar Waters MD,Other,47,1959709,North Nancy,2,Low,1,High Risk,Home,6442446,26,13769,18,2219,Wealth Growth,1,37666.22525638477,Divorced,Self-Employed,Healthcare,736580,826,3125254,148032,Quarterly,1,Rented,Yes,181824
74070c8d-0c1b-4e2c-86b1-abafe1ad191c,Jeffery Brown,Male,25,1808384,Perezmouth,1,Medium,3+,High Risk,Health,6807093,23,32730,5,104,Emergency Fund,3,39046.21484810268,Widowed,Unemployed,Retail,484385,445,2747424,103775,Monthly,1,Owned,Yes,372743
cdcf5ad2-dbb7-469c-b744-f8d6a32674d7,Matthew Lin,Male,58,1287043,East Davidton,2,Medium,3,High Risk,Home,2527143,23,13796,22,8568,Emergency Fund,4,23937.500912972424,Widowed,Unemployed,Healthcare,554738,419,753758,125926,Quarterly,4,Owned,Yes,886880
092cfc9b-bf27-4f7a-a46b-ca70d1faa6fe,Becky Strong,Other,40,1107197,Maldonadochester,1,Medium,2,Healthy,Health,2570058,16,13045,4,7512,Wealth Growth,0,12068.366740532158,Married,Retired,IT,814584,654,2019972,82446,Annual,0,Rented,No,17539
f3914760-cf46-4305-82e1-ea9c3f53b20b,Barbara Mccarthy,Other,51,832858,Port Paulbury,1,High,3+,High Risk,Life,8836186,13,34375,3,8337,Retirement,2,13265.616441771841,Married,Salaried,Healthcare,650073,482,1982462,109476,Quarterly,0,Rented,No,610558
55906a3a-2bdd-441e-9f85-63feff7ff43d,Tara Jones,Female,38,1101862,Jamesland,2,Medium,3+,High Risk,Health,5138676,26,42761,15,6974,Education,0,22911.497380293593,Married,Salaried,Finance,894883,628,4865413,89800,Quarterly,0,Owned,Yes,422774
